"control","latitude","longitude","score"

"1",53.826538, -1.634467,10
"2",53.82393, -1.634884,10
"3",53.824203, -1.63281,10
"4",53.822372, -1.634824,10
"5",53.824753, -1.629417,10
"6",53.82452, -1.630109,10
"7",53.822662, -1.630383,10
"8",53.82091, -1.631178,10
"9",53.82327, -1.62824,10
"10",53.822178, -1.626861,10
"11",53.824013, -1.624937,10
"12",53.820793, -1.627745,10
"13",53.821922, -1.622887,10
"14",53.822613, -1.622081,10

"15",53.82841, -1.637551,10
"16",53.828854, -1.632113,10
"17",53.82945, -1.631306,10
"18",53.830948, -1.62945,10
"19",53.830788, -1.627148,10
"20",53.83141, -1.627558,10
"21",53.82978, -1.626065,10
"22",53.82878, -1.624733,10
"23",53.830048, -1.624059,10
"24",53.831905, -1.624745,10
"25",53.826317, -1.621714,10
"26",53.829926, -1.620328,10
"27",53.83224, -1.620634,10
"28",53.833866, -1.620959,10
"29",53.832268, -1.618905,10
"30",53.83432, -1.618264,10

"31",53.820053, -1.633748,10
"32",53.82987, -1.635538,10
"33",53.83292, -1.616264,10
"34",53.82134, -1.621681,10
