"control","latitude","longitude","score"
"1",53.811638,-1.57576,10
"2",53.807827,-1.574771,10
"3",53.80862,-1.570149,10
"4",53.806,-1.568187,10
"5",53.812115,-1.56995,10
"6",53.809296,-1.577263,10
"7",53.802433,-1.566299,10
"8",53.802868,-1.569537,10
"9",53.809116,-1.578929,10
"10",53.81094,-1.57834,10
"11",53.813408,-1.573748,10
"12",53.80743,-1.569578,10
"13",53.807625,-1.566976,10
"14",53.80752,-1.57219,10
"15",53.80788,-1.569885,10
"16",53.804737,-1.566517,10
"17",53.805515,-1.562403,10
"18",53.803974,-1.564907,10
"19",53.808067,-1.578386,10
"20",53.809837,-1.579304,10
"21",53.81214,-1.580509,20
"22",53.806656,-1.580022,20
"23",53.80953,-1.583929,20
"24",53.81087,-1.56535,20
"25",53.80699,-1.56367,20
"26",53.803017,-1.561149,20
"27",53.800392,-1.56588,20
"28",53.804558,-1.572151,20
"29",53.81404,-1.568919,20
"30",53.809288,-1.565271,20
"31",53.81469,-1.567106,30
"32",53.801765,-1.561773,30
"33",53.8079,-1.584733,30
