"control","latitude","longitude","score"
"27",53.846985,-1.734956,10
"13",53.847797,-1.736488,10
"26",53.84831,-1.736858,10
"23",53.84761,-1.738699,10
"4",53.84613,-1.74189,10
"20",53.848457,-1.7416,10
"2",53.849625,-1.74032,10
"22",53.85225,-1.727395,10
"6",53.850716,-1.729641,10
"15",53.848667,-1.723354,10
"12",53.852787,-1.724853,10
"7",53.85303,-1.729625,10
"18",53.849346,-1.738873,10
"5",53.850464,-1.736403,10
"17",53.8498,-1.735944,10
"1",53.85024,-1.734647,10
"19",53.850754,-1.733185,10
"11",53.852127,-1.732348,10
"3",53.8533,-1.731845,10
"16",53.85356,-1.733161,10
"10",53.84917,-1.72295,10
