"control","latitude","longitude","score"
"31",53.919304,-1.817747,10
"32",53.91882,-1.814211,10
"33",53.91819,-1.811855,10
"34",53.91742,-1.814168,10
"35",53.917183,-1.819643,10
"36",53.91819,-1.821541,10
"37",53.918137,-1.824001,10
"38",53.918423,-1.80809,10
"39",53.917126,-1.805803,10
"40",53.916428,-1.806304,10
"43",53.914593,-1.811327,10
"44",53.916275,-1.811845,10
"45",53.914253,-1.814852,10
"46",53.9159,-1.816696,10
"47",53.914295,-1.820269,10
"48",53.91597,-1.820577,10
"49",53.916397,-1.824912,10
"50",53.915516,-1.825123,10
"51",53.914085,-1.830096,10
"52",53.91494,-1.832543,10
"53",53.91664,-1.831651,10
"54",53.918205,-1.828025,10
