"control","latitude","longitude","score"
"1",53.84124,-1.569486,10
"2",53.837337,-1.575686,10
"3",53.834766,-1.573455,10
"4",53.833633,-1.577617,10
"5",53.83193,-1.572678,10
"6",53.835636,-1.575529,10
"7",53.83608,-1.579635,10
"8?",53.837303,-1.577254,10
"9?",53.839294,-1.576385,10
"10",53.83768,-1.570081,10
"11",53.840088,-1.572858,10
"12",53.84026,-1.571467,10
"13",53.838726,-1.570209,10
"15",53.836075,-1.564527,10
"16",53.8401,-1.569963,10
"17",53.838734,-1.578193,10
"19",53.84057,-1.565907,10
"20",53.833637,-1.574105,10
"22",53.837486,-1.580898,10
"23",53.838154,-1.562295,10
"24",53.83109,-1.575442,10
"25",53.839657,-1.578306,10
"26",53.841553,-1.563437,10
"27",53.838036,-1.567712,10
"28",53.840424,-1.575347,10
"30",53.837204,-1.573154,10
