"control","latitude","longitude","score"
"1",53.746013,-1.60288,10
"2",53.75869,-1.594904,10
"3",53.756422,-1.599298,10
"4",53.752686,-1.601187,10
"5",53.75259,-1.609637,10
"6",53.748638,-1.602336,10
"7",53.757404,-1.597746,10
"8",53.759355,-1.596695,10
"9",53.758702,-1.598776,10
"10",53.754757,-1.6033,10
"11",53.753623,-1.608076,10
"12",53.750491,-1.607795,10
"13",53.748043,-1.605284,10
"14",53.79412,-1.660337,10
"15",53.738565,-1.605032,10
"16",53.79911,-1.684701,10
"17",53.739092,-1.598622,10
"18",53.743792,-1.587585,10
"19",53.741952,-1.588336,10
"20",53.743405,-1.592027,10
"21",53.751869,-1.598749,10
"22",53.742092,-1.599437,10
"23",53.752833,-1.595548,10
"24",53.750771,-1.596711,10
"25",53.756669,-1.607099,10
"26",53.740733,-1.606143,10
"27",53.74529,-1.609198,10
"28",53.750643,-1.600704,10
"29",53.746253,-1.596547,10
"30",53.743656,-1.603924,10
"31",53.744597,-1.594452,10
"32",53.739824,-1.602898,10
"33",53.754054,-1.59979,10
"34",53.750368,-1.592976,10
"35",53.742675,-1.611586,10
"36",53.756302,-1.601915,10
"37",53.741207,-1.609799,10
"38",53.747061,-1.593662,10
"39",53.742546,-1.594325,10
"40",53.746997,-1.60849,10
"41",53.751774,-1.595152,10
"42",53.747102,-1.601158,10
