"control","latitude","longitude","score"
"1",53.820198, -1.78911,10
"2?",53.82367, -1.78452,10
"3",53.824684, -1.78645,10
"4",53.826267, -1.78908,10
"5",53.82627, -1.792379,10
"6",53.826553, -1.796385,10
"7",53.828465, -1.791005,10
"8",53.82717, -1.790941,10
"9",53.829163, -1.793399,10
"10",53.829575, -1.79135,10
"11",53.829926, -1.787496,10
"12",53.82813, -1.786689,10
"13",53.827007, -1.781688,10
"14",53.82886, -1.782969,10

"16",53.816307, -1.79031,10
"17",53.823956, -1.796909,10

"19",53.824585, -1.783977,10

"20",53.818886, -1.798857,10
"21",53.822147, -1.781924,10
"22",53.822018, -1.78649,10
"23",53.823013, -1.792182,10

"25",53.81941, -1.792291,10
"26",53.819225, -1.795905,10
"27",53.816998, -1.788013,10
"28",53.82787, -1.796001,10
"29",53.825447, -1.793306,10
"30",53.817917, -1.784606,10
