"control","latitude","longitude","score"
"A",53.800846,-1.664045,20
"B",53.79643,-1.661978,20
"C",53.789207,-1.653798,20
"1",53.790085,-1.654899,10
"2",53.792313,-1.670803,10
"3",53.79271,-1.648522,10
"4",53.79565,-1.66447,10
"5",53.798992,-1.664109,10
"6",53.80089,-1.647519,10
"7",53.793297,-1.674073,10
"8",53.79778,-1.654352,10
"9",53.79513,-1.680556,10
"10",53.790157,-1.676453,10
"11",53.78633,-1.656667,10
"12",53.789913,-1.661264,10
"13",53.791885,-1.665163,10
"14",53.793964,-1.660279,10
"15",53.796597,-1.685704,10
"16",53.79911,-1.684701,10
"17",53.800133,-1.669478,10
"18",53.79796,-1.673269,10
"19",53.798557,-1.659151,10
"20",53.78825,-1.666839,10
"21",53.797195,-1.661519,10
