"control","latitude","longitude","score"
"1",53.849957, -1.671454,10
"2",53.84772, -1.669809,10
"3",53.848804, -1.675076,10
"4",53.85097, -1.682369,10
"5",53.852737, -1.677609,10
"6",53.85484, -1.679657,10
"7",53.853428, -1.684842,10
"8",53.86071, -1.677124,10
"9",53.86148, -1.680078,10
"10",53.860176, -1.691045,10
"11",53.861958, -1.687587,10
"12",53.864357, -1.688825,10
"13",53.86613, -1.693873,10
"14",53.857437, -1.679454,10
"15",53.86612, -1.685481,10
"16",53.866203, -1.681989,10
"17",53.84997, -1.677936,10
"18",53.864426, -1.675663,10
"19",53.86414, -1.67443,10
"20",53.85383, -1.676733,10
"21",53.85288, -1.681159,10
"22",53.857937, -1.676725,10
"23",53.86463, -1.693829,10
"24",53.86398, -1.679612,10
"25",53.857845, -1.685751,10
"26",53.85518, -1.68581,10
"31",53.87037, -1.678876,20
"32",53.863617, -1.690502,20
"33",53.866806, -1.669383,20
"34",53.868492, -1.688298,20
"35",53.85956, -1.68394,20
