"colName","label"
"x","unknown"
"⇧","unknown"
"Pos","position"
"Bib","id"
"Category","category"
"Name","fullName"
"","unknown"
"Sponsors","meta"
"Stage 1","stage"
"Stage 2","stage"
"Stage 3","stage"
"Stage 4","stage"
"Stage 5","stage"
"Stage 6","stage"
"Penalties","penalties"
"Total time","time"
"Diff","time"
"⇧","unknown"
"Pos","position"
"Bib","id"
"Category","category"
"Name","fullName"
"","unknown"
"Sponsors","meta"
"Morning ...","stage"
"Fool's G...","stage"
"Scotland...","stage"
"F.E.A.R.","stage"
"Born Sli...","stage"
"There's ...","stage"
"Total time","time"
"Diff","time"
"Bib","id"
"First Name","firstName"
"Surname","surname"
"Club","meta"
"Category","category"
"Sex","sex"
"OutLap","stage"
"Lap1","stage"
"Lap2","stage"
"Lap3","stage"
"Lap4","stage"
"Lap5","stage"
"Lap6","stage"
"Lap7","stage"
"Lap8","stage"
"Lap9","stage"
"Lap10","stage"
"Lap11","stage"
"Lap12","stage"
"Lap13","stage"
"Finish","stage"
"Place Overall","position"
"Place Category","position"
"Place Sex","position"
"Pos","unknown"
"Name","fullName"
"Age Class","category"
"Time","time"
"(S1)","stage"
"1 (217)","stage"
"2 (218)","stage"
"3 (219)","stage"
"(F1)","stage"
"Pos","position"
"Name","fullName"
"Age Class","category"
"Time","time"
"(S1)","stage"
"1 (217)","stage"
"2 (218)","stage"
"3 (219)","stage"
"(F1)","stage"
"Pos","position"
"Name","fullName"
"Age Class","category"
"Time","time"
"S S1","stage"
"1 211","stage"
"2 210","stage"
"3 209","stage"
"4 208","stage"
"5 207","stage"
"6 201","stage"
"7 205","stage"
"8 204","stage"
"9 203","stage"
"10 202","stage"
"11 200","stage"
"12 198","stage"
"13 197","stage"
"14 196","stage"
"15 195","stage"
"16 194","stage"
"17 192","stage"
"18 206","stage"
"19 193","stage"
"F F1","stage"
"Pos","position"
"Name","fullName"
"Age Class","category"
"Time","time"
"S S1","stage"
"1 211","stage"
"2 210","stage"
"3 209","stage"
"4 208","stage"
"5 207","stage"
"6 201","stage"
"7 205","stage"
"8 204","stage"
"9 203","stage"
"10 202","stage"
"11 200","stage"
"12 198","stage"
"13 197","stage"
"14 196","stage"
"15 195","stage"
"16 194","stage"
"17 192","stage"
"18 206","stage"
"19 193","stage"
"F F1","stage"
"Pos","position"
"Name","fullName"
"Age Class","category"
"Time","time"
"S S1","stage"
"1 158","stage"
"2 157","stage"
"3 163","stage"
"4 167","stage"
"5 170","stage"
"6 166","stage"
"7 168","stage"
"8 152","stage"
"9 162","stage"
"10 153","stage"
"11 161","stage"
"12 164","stage"
"13 151","stage"
"14 169","stage"
"15 159","stage"
"16 160","stage"
"17 165","stage"
"F F1","stage"
